ACCOUNT_STATUS,SERVICE__PLAN,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,STATE,FEEDBACK,SATELLITE,SITE_TYPE_DESC,MOST_RECENT_SALES_CHANNEL,GENDER,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER,Y,,,,,,
Active,Elite,Retail/others,Direct,ValueElectronics, CA,Unkown,HZN2-VER-5K,Broadband Remote,DW6000 Upgrade,Male,42,0,1,1,N,0,,,,,,
Active,Elite,Uknown,Indirect,AmericanSat, OH,Unkown,SM5-VER-7K,Broadband Remote,DW6000 Upgrade,Male,26,D,0,0,Y,0,,,,,,
Active,Power150,Uknown,Indirect,Perfect 10, AL,GOOD,AM9-VER-2K ,Broadband Remote,UNKNOWN,Male,44,7,1,1,N,0,,,,,,
Active,Unknown,Call Center,Direct,ACS, MN,GOOD,SM5-HOR-14K,Broadband Remote,Retail       ,Female,22,6,1,1,Y,0,,,,,,
Active,Proplus,Uknown,Direct,RS&I, CO,GOOD,SM5-VER-5K,Broadband Remote,HN7000 Upgrade,Female,61,5,1,1,Unknown,0,,,,,,
Active,Proplus,Retail/others,Indirect,AmericanSat, MI,Unkown,HZN2-VER-4K,Broadband Remote,Retail       ,Male,74,5,1,0,N,0,,,,,,
Active,Elite,Uknown,Indirect,Hughes Web Order, CA,BAD,SPACEWAY3,Broadband Remote,DW6000 Upgrade,Male,46,6,0,Unkown,N,0,,,,,,
Active,Elite,Web orders,Direct,AmericanSat, TN,GOOD,SM5-HOR-14K,Broadband Remote,HN7000 Upgrade,Female,29,6,0,0,N,0,,,,,,
Active,Proplus,Uknown,Indirect,Best Buy, AR,BAD,SM5-VER-15K,Spaceway,HN7000 Upgrade,Male,26,5,2,1,Y,0,,,,,,
Active,Pro,Sales Agents,Direct,Hughes Web Order, MI,BAD,Unkown,Broadband Remote,Dealer-Generated Sale,Female,48,6,1,0,N,0,,,,,,
Active,Proplus,Uknown,Direct,RS&I, MO,Unkown,SM5-VER-1K,Broadband Remote,National Sales,Male,39,7,1,0,Unknown,0,,,,,,
Active,Power150,Sales Agents,Direct,Hughes Web Order, NY,BAD,Unkown,Broadband Remote,Retail       ,Male,43,0,0,0,N,0,,,,,,
Active,Power150,Retail/others,Direct,TAG, IA,GOOD,AM9-VER-2K ,Broadband Remote,DW6000 Upgrade,Male,54,5,0,Unkown,N,0,,,,,,
Active,Proplus,Uknown,Indirect,TAG, PA,GOOD,Unkown,Broadband Remote,Retail       ,Female,48,7,1,0,Unknown,0,,,,,,
Active,Basic,Retail/others,Indirect,TAG, WA,GOOD,SM5-VER-5K,Spaceway,DW6000 Upgrade,Female,34,5,1,0,Unknown,0,,,,,,
Active,Proplus,Uknown,Indirect,Hughes Web Order, MS,BAD,SM5-HOR-14K,Broadband Remote,DW6000 Upgrade,Male,23,0,1,1,N,0,,,,,,
Active,Power150,Uknown,Indirect,TAG, NY,BAD,Unkown,Broadband Remote,Direct,Male,45,0,0,Unkown,N,0,,,,,,
Active,Pro,Retail/others,Indirect,Hughes Web Order, PA,BAD,SM5-VER-7K,Broadband Remote,UNKNOWN,Male,41,7,0,0,Y,0,,,,,,
Active,Proplus,Uknown,Indirect,Hughes Web Order, CA,BAD,AM9-VER-2K ,Broadband Remote,Retail       ,Male,25,0,0,Unkown,N,0,,,,,,
Active,Basic,Uknown,Indirect,UNKNOWN, CA,Unkown,Unkown,Broadband Remote,HN9000 Upgrade,Female,57,5,1,0,Unknown,0,,,,,,
